city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_type,last_new_job,training_hours,target,company_size_grouped
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,1,36,1.0,Unknown
0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,15.0,Pvt Ltd,>4,47,0.0,Medium
0.624,Unknown,No relevent experience,Full time course,Graduate,5.0,Unknown,never,83,0.0,Unknown
0.789,Unknown,No relevent experience,Unknown,Graduate,0.0,Pvt Ltd,never,52,1.0,Unknown
0.767,Male,Has relevent experience,no_enrollment,Masters,21.0,Funded Startup,4,8,0.0,Medium
0.764,Unknown,Has relevent experience,Part time course,Graduate,11.0,Unknown,1,24,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,High School,5.0,Funded Startup,1,24,0.0,Medium
0.762,Male,Has relevent experience,no_enrollment,Graduate,13.0,Pvt Ltd,>4,18,1.0,Small
0.92,Male,Has relevent experience,no_enrollment,Graduate,7.0,Pvt Ltd,1,46,1.0,Medium
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,17.0,Pvt Ltd,>4,123,0.0,Large
0.624,Unknown,No relevent experience,Full time course,High School,2.0,Unknown,never,32,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,108,0.0,Large
0.913,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,3,23,0.0,Large
0.624,Male,No relevent experience,Unknown,Unknown,2.0,Unknown,never,24,0.0,Unknown
0.624,Unknown,No relevent experience,Full time course,High School,5.0,Unknown,never,26,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Graduate,16.0,Pvt Ltd,>4,18,0.0,Small
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,1.0,Pvt Ltd,never,106,0.0,Medium
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,2.0,Pvt Ltd,2,7,0.0,Large
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,7.0,Pvt Ltd,never,23,1.0,Large
0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,4.0,Unknown,1,132,1.0,Unknown
0.843,Male,Has relevent experience,no_enrollment,Masters,11.0,Pvt Ltd,1,68,0.0,Medium
0.926,Male,Has relevent experience,no_enrollment,Masters,11.0,Pvt Ltd,2,50,0.0,Medium
0.804,Unknown,Has relevent experience,no_enrollment,Masters,10.0,Unknown,1,48,0.0,Unknown
0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,0.0,Pvt Ltd,1,65,0.0,Large
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,1,13,0.0,Large
0.855,Unknown,No relevent experience,no_enrollment,High School,4.0,Unknown,never,22,0.0,Unknown
0.624,Unknown,Has relevent experience,Part time course,Graduate,14.0,Pvt Ltd,1,148,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Unknown,2,72,0.0,Unknown
0.887,Male,Has relevent experience,no_enrollment,High School,11.0,Pvt Ltd,1,8,1.0,Small
0.624,Male,Has relevent experience,no_enrollment,Graduate,18.0,Funded Startup,2,68,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,3,40,0.0,Medium
0.92,Male,Has relevent experience,Part time course,Graduate,19.0,Pvt Ltd,>4,141,0.0,Large
0.92,Female,No relevent experience,Full time course,Graduate,5.0,Unknown,1,24,0.0,Unknown
0.92,Female,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,82,0.0,Medium
0.91,Male,Has relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,3,145,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,10.0,Early Stage Startup,2,206,0.0,Small
0.926,Male,No relevent experience,Part time course,High School,1.0,Other,1,152,0.0,Large
0.926,Male,Has relevent experience,no_enrollment,Phd,21.0,Pvt Ltd,4,42,1.0,Medium
0.92,Unknown,No relevent experience,no_enrollment,Graduate,12.0,Unknown,4,50,0.0,Unknown
0.884,Male,No relevent experience,no_enrollment,Unknown,3.0,Unknown,never,106,0.0,Unknown
0.926,Female,Has relevent experience,Full time course,Masters,16.0,Public Sector,2,14,0.0,Large
0.924,Male,Has relevent experience,no_enrollment,High School,4.0,Pvt Ltd,2,36,0.0,Small
0.624,Unknown,Has relevent experience,no_enrollment,Masters,6.0,Early Stage Startup,1,112,1.0,Medium
0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,never,108,0.0,Medium
0.624,Male,Has relevent experience,Part time course,Masters,9.0,Pvt Ltd,3,7,1.0,Large
0.624,Female,No relevent experience,Full time course,Masters,5.0,Unknown,never,26,1.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,never,87,1.0,Medium
0.92,Other,Has relevent experience,no_enrollment,Graduate,19.0,Public Sector,4,52,1.0,Large
0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,15.0,Unknown,>4,20,1.0,Unknown
0.923,Male,Has relevent experience,no_enrollment,Graduate,11.0,Pvt Ltd,1,21,0.0,Small
0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,4.0,Unknown,1,92,1.0,Unknown
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,2,102,0.0,Medium
0.794,Male,No relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,>4,26,0.0,Large
0.924,Unknown,Has relevent experience,no_enrollment,Masters,3.0,Early Stage Startup,2,7,0.0,Small
0.926,Male,No relevent experience,Full time course,High School,4.0,Pvt Ltd,1,43,0.0,Large
0.924,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,1,45,0.0,Medium
0.754,Male,Has relevent experience,Full time course,Graduate,2.0,Early Stage Startup,2,52,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,2,19,0.0,Unknown
0.624,Unknown,Has relevent experience,Full time course,Graduate,2.0,Funded Startup,never,32,1.0,Small
0.767,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,26,1.0,Medium
